id,name,count
CL:0000795,"CD8-positive, alpha-beta regulatory T cell",1364
CL:0000796,"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell",1063
CL:0000798,gamma-delta T cell,218288
CL:0000800,mature gamma-delta T cell,16149
CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",1620
CL:0000809,"double-positive, alpha-beta thymocyte",711645
CL:0000810,"CD4-positive, alpha-beta thymocyte",36077
CL:0000811,"CD8-positive, alpha-beta thymocyte",9817
CL:0000813,memory T cell,33169
CL:0000814,mature NK T cell,175262
CL:0000815,regulatory T cell,358384
CL:0000816,immature B cell,26613
CL:0000817,precursor B cell,47751
CL:0000818,transitional stage B cell,44849
CL:0000819,B-1 B cell,16956
CL:0000820,B-1a B cell,558
CL:0000821,B-1b B cell,1110
CL:0000822,B-2 B cell,53076
CL:0000823,immature natural killer cell,26
CL:0000826,pro-B cell,52927
CL:0000827,pro-T cell,12409
CL:0000834,neutrophil progenitor cell,2211
CL:0000836,promyelocyte,13082
CL:0000837,hematopoietic multipotent progenitor cell,436110
CL:0000838,lymphoid lineage restricted progenitor cell,11685
CL:0000839,myeloid lineage restricted progenitor cell,4158
CL:0000841,mature conventional dendritic cell,236
CL:0000842,mononuclear cell,242
CL:0000843,follicular B cell,22829
CL:0000844,germinal center B cell,11611
CL:0000846,vestibular dark cell,147
CL:0000860,classical monocyte,1591872
CL:0000861,elicited macrophage,116551
CL:0000863,inflammatory macrophage,33803
CL:0000864,tissue-resident macrophage,4065
CL:0000867,secondary lymphoid organ macrophage,4633
CL:0000875,non-classical monocyte,273402
CL:0000878,central nervous system macrophage,394390
CL:0000879,meningeal macrophage,603
CL:0000890,alternatively activated macrophage,28013
CL:0000893,thymocyte,77572
CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",1053444
CL:0000896,"activated CD4-positive, alpha-beta T cell",35161
CL:0000897,"CD4-positive, alpha-beta memory T cell",135220
CL:0000898,naive T cell,31340
CL:0000899,T-helper 17 cell,13033
CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",406676
CL:0000903,natural T-regulatory cell,13632
CL:0000904,"central memory CD4-positive, alpha-beta T cell",961971
CL:0000905,"effector memory CD4-positive, alpha-beta T cell",199608
CL:0000906,"activated CD8-positive, alpha-beta T cell",46765
CL:0000907,"central memory CD8-positive, alpha-beta T cell",98529
CL:0000909,"CD8-positive, alpha-beta memory T cell",287112
CL:0000910,cytotoxic T cell,26507
CL:0000912,helper T cell,56918
CL:0000913,"effector memory CD8-positive, alpha-beta T cell",514615
CL:0000914,immature NK T cell,5258
CL:0000915,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",25731
CL:0000917,Tc1 cell,13863
CL:0000920,"CD8-positive, CD28-negative, alpha-beta regulatory T cell",8377
CL:0000921,type I NK T cell,5759
CL:0000922,type II NK T cell,147
CL:0000931,activated type II NK T cell,11568
CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",54196
CL:0000935,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",102
CL:0000936,early lymphoid progenitor,11633
CL:0000937,pre-natural killer cell,39
CL:0000938,"CD16-negative, CD56-bright natural killer cell, human",103615
CL:0000939,"CD16-positive, CD56-dim natural killer cell, human",469505
CL:0000940,mucosal invariant T cell,161371
CL:0000945,lymphocyte of B lineage,1170
CL:0000946,antibody secreting cell,619
CL:0000954,small pre-B-II cell,27888
CL:0000956,pre-B-I cell,1084
CL:0000957,large pre-B-II cell,39056
CL:0000970,unswitched memory B cell,23938
CL:0000972,class switched memory B cell,35910
CL:0000979,IgG memory B cell,2048
CL:0000980,plasmablast,67375
CL:0000982,IgG plasmablast,4242
CL:0000984,IgA plasmablast,3562
CL:0000985,IgG plasma cell,17633
CL:0000986,IgM plasma cell,5277
CL:0000987,IgA plasma cell,78789
CL:0000988,hematopoietic cell,28870
CL:0000990,conventional dendritic cell,180418
CL:0001024,"CD34-positive, CD38-negative hematopoietic stem cell",2238
CL:0001029,common dendritic progenitor,3522
CL:0001031,cerebellar granule cell,80865
CL:0001033,hippocampal granule cell,109995
CL:0001034,cell in vitro,118672
CL:0001042,T-helper 22 cell,18379
CL:0001043,"activated CD4-positive, alpha-beta T cell, human",14331
CL:0001044,"effector CD4-positive, alpha-beta T cell",29848
CL:0001049,"activated CD8-positive, alpha-beta T cell, human",6638
CL:0001050,"effector CD8-positive, alpha-beta T cell",92660
CL:0001054,CD14-positive monocyte,684349
CL:0001055,"CD14-positive, CD16-low monocyte",4683
CL:0001056,"dendritic cell, human",9222
CL:0001057,"myeloid dendritic cell, human",1901
CL:0001058,"plasmacytoid dendritic cell, human",19797
CL:0001061,abnormal cell,46887
CL:0001062,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",105029
CL:0001063,neoplastic cell,66416
CL:0001064,malignant cell,1337071
CL:0001065,innate lymphoid cell,65806
CL:0001066,"erythroid progenitor cell, mammalian",773
CL:0001067,group 1 innate lymphoid cell,2940
CL:0001069,group 2 innate lymphoid cell,7844
CL:0001071,group 3 innate lymphoid cell,27856
CL:0001074,"CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",555
CL:0001076,"NKp46-positive innate lymphoid cell, human",16978
CL:0001077,"ILC1, human",776
CL:0001078,"group 3 innate lymphoid cell, human",9058
CL:0001079,"NKp44-positive group 3 innate lymphoid cell, human",611
CL:0001080,"NKp44-negative group 3 innate lymphoid cell, human",739
CL:0001081,"group 2 innate lymphoid cell, human",93
CL:0001082,immature innate lymphoid cell,28875
CL:0001087,"effector memory CD4-positive, alpha-beta T cell, terminally differentiated",2758
CL:0001203,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",36334
CL:0002009,macrophage dendritic cell progenitor,31
CL:0002010,pre-conventional dendritic cell,4402
CL:0002028,basophil mast progenitor cell,2541
CL:0002032,hematopoietic oligopotent progenitor cell,6718
CL:0002038,T follicular helper cell,87566
CL:0002045,fraction A pre-pro B cell,22456
CL:0002046,early pro-B cell,32723
CL:0002048,late pro-B cell,27585
CL:0002053,"CD22-positive, CD38-low small pre-B cell",2412
CL:0002057,"CD14-positive, CD16-negative classical monocyte",277252
CL:0002062,pulmonary alveolar type 1 cell,236277
CL:0002063,pulmonary alveolar type 2 cell,694536
CL:0002064,pancreatic acinar cell,101259
CL:0002067,type A enteroendocrine cell,998
CL:0002071,enterocyte of epithelium of large intestine,43665
CL:0002075,brush cell of tracheobronchial tree,1004
CL:0002079,pancreatic ductal cell,52263
CL:0002088,interstitial cell of Cajal,36728
CL:0002092,bone marrow cell,72
CL:0002094,interstitial cell of ovary,49910
CL:0002097,cortical cell of adrenal gland,410019
CL:0002102,CD38-negative naive B cell,13021
CL:0002117,IgG-negative class switched memory B cell,4345
CL:0002129,regular atrial cardiac myocyte,148879
CL:0002131,regular ventricular cardiac myocyte,629198
CL:0002132,stromal cell of ovary,168408
CL:0002138,endothelial cell of lymphatic vessel,199346
CL:0002139,endothelial cell of vascular tree,207038
CL:0002144,capillary endothelial cell,606131
CL:0002145,ciliated columnar cell of tracheobronchial tree,165381
CL:0002149,epithelial cell of uterus,4251
CL:0002151,late promyelocyte,2079
CL:0002154,early promyelocyte,6528
CL:0002157,endosteal cell,54
CL:0002178,epithelial cell of stomach,12980
CL:0002179,foveolar cell of stomach,94899
CL:0002180,mucous cell of stomach,1375
CL:0002187,basal cell of epidermis,33726
CL:0002188,glomerular endothelial cell,1866
CL:0002189,granular cell of epidermis,281
CL:0002193,myelocyte,12224
CL:0002201,renal beta-intercalated cell,1607
CL:0002204,brush cell,5484
CL:0002207,brush cell of trachea,61
CL:0002211,type I muscle cell,138591
CL:0002212,type II muscle cell,100598
CL:0002223,anterior lens cell,6160
CL:0002224,lens epithelial cell,5276
CL:0002225,secondary lens fiber,1677
CL:0002231,epithelial cell of prostate,4587
CL:0002236,basal epithelial cell of prostatic duct,7295
CL:0002241,pulmonary interstitial fibroblast,16633
CL:0002243,smooth muscle cell of sphincter of pupil,2221
CL:0002248,pluripotent stem cell,5884
CL:0002250,intestinal crypt stem cell,1884
CL:0002252,epithelial cell of esophagus,56720
CL:0002254,epithelial cell of small intestine,339
CL:0002255,stromal cell of endometrium,312
CL:0002258,thyroid follicular cell,7302
CL:0002259,neuroepithelial stem cell,8616
CL:0002262,endothelial cell of sinusoid,592
CL:0002268,P/D1 enteroendocrine cell,3532
CL:0002275,pancreatic PP cell,561
CL:0002277,type I enteroendocrine cell,227
CL:0002278,GIP cell,83
CL:0002279,type L enteroendocrine cell,1377
CL:0002280,type N enteroendocrine cell,44
CL:0002293,epithelial cell of thymus,1972
CL:0002303,pigmented ciliary epithelial cell,16144
CL:0002304,non-pigmented ciliary epithelial cell,6327
CL:0002305,epithelial cell of distal tubule,120
CL:0002306,epithelial cell of proximal tubule,452249
CL:0002316,supporting cell of vestibular epithelium,810
CL:0002319,neural cell,576607
CL:0002320,connective tissue cell,2950
CL:0002322,embryonic stem cell,34
CL:0002324,basal-myoepithelial cell of mammary gland,321834
CL:0002325,lactocyte,15973
CL:0002326,luminal epithelial cell of mammary gland,334008
